Team_Name_Year,Domestic_Short,Domestic_Long,International_1_Short,International_1_Long,International_2_Short,International_2_Long,Nationals_Short,Nationals_Long,Words_Short,Worlds_Long
Skyliners_2017/18,64.59,106.96,67.14,113.6,64.66,115.26,66.08,119.78,63.5,108.5
Haydenettes_2017/18,62.9,98.3,62.75,116.18,65.63,120.2,73.17,130.88,71.22,119.97
Marigold_Ice_Unity_2017/18,71.08,121.18,66.41,124.59,73.06,121.18,71.74,132.86,72.61,136.41
Team_Unique_2017/18,69.65,118.18,71.6,114.97,73.44,130,70.56,131.28,71.2,125.17
Les_Supremes_2017/18,,,64.33,115.2,66.7,118.42,70.04,130.16,70.64,122.24
Nexxice_2017/18,70.9,128.5,70.12,123.58,69.63,131.1,75.86,126.86,69.91,120.54
Skyliners_2018/19,78.89,133.47,69.44,124.79,72.1,121.46,82.58,146.25,76.23,127.83
Haydenettes_2018/19,76.14,115.96,73.07,135.56,75.05,138.76,80.12,135.56,77.97,138.57
Marigold_Ice_Unity_2018/19,78.58,130.62,77.09,137.95,83.75,145.81,80.31,140.34,85.9,142.8
Rockettes_2018/19,80.73,127.63,82.67,142.46,84.74,142.37,82.37,141.45,82.12,146.49
Nexxice_2018/19,82.82,129.36,83.56,133.18,76.8,134.64,84.49,142.2,84.63,139.79
Nova_2018/19,57.07,124.99,77.94,137.92,,,82.71,148.64,82,127.01
Miami_2022/23,66.08,133.92,65.43,137.25,60.63,131.93,73.56,150.07,70.07,139.87
Haydenettes_2022/23,69.55,141.38,71.57,146.24,65.45,145.88,79.09,165.36,64.77,153.55
Rockettes_2022/23,68.91,148.11,77.52,156.54,77.26,161.09,77.87,155.93,78.61,160.95
Team_Unique_2022/23,67.49,146.21,72.65,149.98,70.17,160.67,75.64,159.48,76.13,161.55
Les_Supremes_2022/23,72.19,140.95,76.69,155.12,70.24,155.1,78.34,143.84,79,161.98
Nexxice_2022/23,70.28,139.61,75.37,153.04,72.83,149.3,77.55,152.84,72.17,155.91
Skyliners_2023/24,63.58,108.78,72.07,142.25,69.62,138.07,70.76,150.82,69.28,136.99
Haydenettes_2023/24,73.35,128.84,77.91,154.82,78.6,156.06,80.19,154.23,76.74,157.11
Rockettes_2023/24,69.38,142.19,77.3,151.73,77.37,157.68,77.27,153.38,78,151.84
Team_Unique_2023/24,70.07,141.85,76.31,151.59,69.52,153.91,74.55,139.71,76.5,150.61
Les_Supremes_2023/24,69.04,147.02,77.72,156.88,77.93,148.79,74.8,141.99,78.89,159.08
Nova_2023/24,70.6,145.16,62.19,32.93,68.19,147.85,71.81,142.16,72.09,139.49
Skyliners_2024/25,60.48,114.28,63.22,124.59,59.79,122.79,68.48,141.03,,
Haydenettes_2024/25,62.81,124.08,74.11,141.2,76.78,141.99,78.77,150.94,,
Rockettes_2024/25,76.64,146.95,76.97,148.18,78.63,137.8,78.64,142.11,,
Team_Unique_2024/25,77.68,149.49,65.88,138.66,73.44,151.09,77.93,143.24,,
Les_Supremes_2024/25,71.8,139.94,77.56,147.64,77.49,140.87,79.53,144.2,,
Nova_2024/25,71.72,135.48,75.82,142.98,71.96,132.94,75.13,144.9,,
